,x,y,c
0,-52.91204,-207.547,6
1,75.41009,137.5644,7
2,45.76765,-178.85468,13
3,-166.42209,127.02318,8
4,144.93915,-40.955727,13
5,172.54422,-9.8985815,7
6,-91.5594,91.69258,3
7,0.48007798,234.99008,3
8,-34.873875,195.08395,3
9,41.46227,-94.7928,2
10,-166.737,13.708241,4
11,24.244076,-100.5574,2
12,-69.914116,119.388985,3
13,-80.84124,15.248309,11
14,-220.95035,0.6570675,14
15,-2.2033286,-24.515213,2
16,-49.48802,63.48429,11
17,-174.0176,-30.579453,9
18,-28.361158,171.99954,3
19,108.10068,-22.334257,2
20,-67.14796,52.39198,11
21,-52.281666,-27.724957,10
22,-17.38591,206.16827,3
23,-48.190807,167.44588,3
24,14.341081,207.78632,3
25,-22.850649,-67.8432,10
26,-81.34003,118.968575,3
27,32.59179,191.56166,12
28,-204.69461,-14.73066,14
29,-139.04404,-70.18178,9
30,-176.76404,98.01688,8
31,-134.21468,35.492836,4
32,177.68375,118.82038,12
33,-29.632107,194.06885,3
34,1.0489997,8.07736,7
35,180.10867,68.25569,12
36,-138.16084,178.41644,8
37,8.110568,203.31044,3
38,-95.414,-82.61945,9
39,-131.68225,124.51457,8
40,110.88054,83.988235,7
41,228.62442,56.457138,12
42,-15.6425,-94.43546,2
43,-105.764656,-100.91614,9
44,-51.378265,9.555073,11
45,-186.91772,5.432503,14
46,-21.98189,131.44861,3
47,-180.77356,145.12901,8
48,-214.52986,-14.818115,14
49,-4.047899,57.63802,11
50,-195.52159,-32.42874,1
51,-42.815517,198.51556,3
52,188.86092,-149.32954,13
53,-42.954945,-65.12612,10
54,-109.99762,-194.77942,6
55,200.63647,-15.62739,7
56,65.15322,-43.129093,2
57,13.05922,44.727142,2
58,-145.74792,185.28462,8
59,-176.34201,-27.311983,9
60,-101.695175,119.31447,8
61,34.945004,56.475197,12
62,-124.2586,-160.35027,6
63,-207.21661,44.986404,14
64,-186.08693,-50.73164,1
65,-182.98505,113.85867,8
66,-70.430534,28.322031,11
67,1.9876164,29.235012,11
68,-153.11174,132.7954,8
69,-67.85493,5.464424,11
70,159.13159,54.729507,12
71,-36.347355,-19.059986,10
72,-148.38705,-101.83287,9
73,-137.64665,-1.1551343,4
74,-25.34647,116.828186,3
75,195.4175,34.379555,12
76,207.38196,56.27386,12
77,170.38017,72.14407,12
78,-47.179474,189.70995,3
79,-164.48106,79.834,8
80,-141.94762,-56.45505,9
81,106.73306,-113.10421,13
82,6.8801293,174.86186,11
83,5.118323,-235.5004,5
84,-1.4170933,-223.88724,5
85,-49.10479,-106.15636,15
86,-180.01294,-5.4648046,1
87,-74.30618,34.070145,11
88,-61.313816,96.79746,3
89,45.658337,-45.750523,2
90,-179.12703,97.77191,8
91,-105.150955,96.89873,3
92,-120.07425,-137.06648,9
93,-33.281834,-6.434866,10
94,-202.01152,-27.62654,14
95,-119.452095,-102.82678,9
96,-30.537447,-69.27024,10
97,-155.34161,-106.7714,9
98,-18.63985,-108.98428,15
99,-109.9284,-8.014159,9
100,59.878353,105.53428,7
101,8.652269,-64.40572,2
102,92.12544,8.137681,7
103,-7.5407453,-128.12923,2
104,-78.91752,143.3671,3
105,-150.4032,56.336395,4
106,-180.48172,142.87753,8
107,-41.84923,-148.82858,15
108,21.007902,8.916938,2
109,57.046307,-73.87782,2
110,-39.899036,-195.41792,6
111,-48.951355,76.177895,11
112,53.773895,-81.96387,2
113,0.064754516,-100.5091,2
114,-130.22768,-87.34067,9
115,-159.77322,190.67662,8
116,134.7835,-170.09079,13
117,80.54342,143.2594,7
118,-41.25856,108.13528,3
119,81.211,-31.904976,2
120,223.56102,79.99189,12
121,-48.218884,0.038231965,11
122,29.730705,-72.09183,2
123,1.1140838,33.530594,11
124,-93.67546,-145.01892,6
125,90.16557,-69.0656,2
126,-203.41965,-7.984507,14
127,-168.95609,-59.502357,9
128,44.722073,80.27334,7
129,-54.696648,93.42095,3
130,-61.165432,-117.90883,15
131,-10.935361,-46.365185,10
132,192.92416,131.87885,12
133,-174.14426,-49.623272,9
134,161.78975,-72.092834,13
135,51.08333,46.22805,12
136,58.366734,-11.2424555,2
137,-153.62047,135.51723,8
138,49.14209,-78.09925,2
139,-52.688004,-142.58661,15
140,7.516517,16.055328,6
141,20.652756,-91.5935,2
142,-186.66481,-82.96672,9
143,-86.07467,74.87561,3
144,-109.989,-3.2708793,4
145,23.23357,-76.32697,2
146,44.424885,176.68547,12
147,2.5434635,238.25443,3
148,49.20955,-74.33403,2
149,167.93468,65.84167,12
150,50.76387,31.064924,2
151,-134.06326,-95.22882,9
152,-136.3975,6.4822764,4
153,13.578287,182.03897,3
154,-8.125807,-213.78053,5
155,10.657439,-131.54034,2
156,-20.37342,-64.93949,10
157,46.660618,188.75941,12
158,-97.65382,-205.46129,6
159,-184.25017,-97.54336,9
160,-190.21162,76.4122,8
161,-13.026069,-12.102169,2
162,10.849861,-79.9738,2
163,105.745766,-33.504692,2
164,-92.092834,-141.0642,15
165,57.68689,57.94951,12
166,-77.85393,-117.86047,15
167,-169.56685,-17.431044,14
168,-91.4368,-10.541628,11
169,-0.9363263,38.592262,11
170,-92.45005,4.5497403,11
171,39.044415,177.4482,12
172,-147.79527,-27.619051,9
173,-50.945168,155.68968,3
174,-1.649315,35.91144,11
175,-8.460273,-74.34474,2
176,81.3726,35.33753,7
177,-183.65675,72.571236,8
178,-183.39764,98.81011,8
179,-59.695118,37.84433,11
180,-21.275576,222.61954,3
181,162.2046,78.021965,12
182,-175.93198,-81.98678,9
183,-223.51555,-76.90792,1
