,x,y,c
0,-29.52734,-8.002244,2
1,168.63963,13.215715,1
2,-104.14984,-9.836874,15
3,-108.790665,-60.858074,10
4,-165.97751,102.88431,5
5,-24.143251,-241.82507,11
6,-65.95283,116.55169,5
7,245.97871,18.767729,14
8,194.13518,49.047615,1
9,-35.431877,-70.95579,10
10,54.559692,-42.248,12
11,216.70055,22.148558,14
12,-83.22354,-21.165916,2
13,18.836632,-196.56502,11
14,229.2865,-49.742485,3
15,-51.358543,-188.9413,11
16,4.521462,76.47396,13
17,-89.49163,205.05426,5
18,-81.04077,39.68388,5
19,-59.155216,-151.786,11
20,137.96205,-99.66428,7
21,155.71,-44.139687,1
22,103.21137,103.88716,13
23,81.59658,168.50754,13
24,-112.02827,88.24971,5
25,162.62236,-66.932846,1
26,-143.38155,86.7855,5
27,105.7529,-103.6839,7
28,-109.826324,12.459149,15
29,-162.90158,78.73367,5
30,35.11464,-55.587383,1
31,218.02702,-50.902195,3
32,-182.01286,57.42311,5
33,-42.780033,72.433586,5
34,30.478281,179.88403,13
35,-75.471245,-190.75389,11
36,9.983164,-222.68733,11
37,-3.2429068,159.6304,5
38,-67.84162,181.27849,5
39,49.10357,57.090717,13
40,11.946171,-163.7749,11
41,-109.878426,-150.00307,10
42,84.99819,170.08635,13
43,-56.752865,-240.95126,11
44,-92.19152,174.99619,5
45,-53.344673,13.609856,2
46,36.844154,-38.555557,9
47,25.732618,-118.58978,7
48,90.069466,-112.01223,7
49,-1.4520799,-11.686307,6
50,32.88009,-12.023667,9
51,-223.08286,24.79022,10
52,43.153633,17.01538,6
53,256.0426,-15.956651,8
54,77.657585,101.22521,13
55,-38.332954,-89.251366,10
56,94.77166,54.94927,13
57,-221.42761,19.357435,10
58,238.87355,5.5527987,14
59,-59.489468,-213.92694,11
60,167.07812,65.084564,1
61,-206.75964,-95.58723,10
62,76.18571,-54.8514,12
63,45.174713,-30.314829,9
64,-180.79749,-26.23018,10
65,-56.68172,-5.552889,2
66,-66.248055,35.86253,5
67,190.81621,-30.516823,1
68,-63.058426,124.82745,5
69,-50.27148,-245.99028,11
70,52.537743,-104.20354,7
71,-243.55414,22.527376,10
72,-42.92011,-255.65007,11
73,-96.27974,52.427788,5
74,180.01404,-75.289314,4
75,49.382027,55.558712,13
76,98.43635,-118.98137,7
77,-203.58937,28.146292,10
78,91.02651,129.27371,13
79,-43.246296,25.426973,2
80,220.14365,-43.432293,3
81,107.06754,133.29639,13
82,186.08768,3.1659224,1
83,73.0928,186.16943,13
84,44.154503,108.972374,13
85,148.75156,57.045555,1
86,211.77756,12.816833,14
87,-61.691914,-197.1455,11
88,-37.666634,36.54189,6
89,6.196638,58.963802,13
90,142.06216,143.04968,13
91,-222.92657,20.363102,10
92,36.46495,-116.71467,7
93,-133.3508,18.421352,15
94,84.96654,159.83473,13
95,-103.791824,158.16797,5
96,31.221375,-62.271645,1
97,-36.80606,15.90232,6
98,-113.167854,-9.970164,15
99,44.50701,-230.59967,11
100,-38.372944,23.102716,6
101,-1.5119903,8.019604,6
102,64.46827,112.24098,13
103,-36.209362,-102.828735,10
104,203.58557,-21.593063,14
105,164.40361,150.8765,13
106,-47.778454,-71.71313,10
107,-188.95372,-48.16868,10
