,x,y,c
0,20.984972,-61.754898,5
1,-149.71132,-18.525719,9
2,-98.56716,34.90941,6
3,129.62831,31.624548,7
4,-45.259476,-48.694046,10
5,-18.247057,35.954422,14
6,-147.78871,15.779116,14
7,-88.08639,-28.362816,6
8,106.00155,-0.71592355,5
9,-63.930374,-84.32323,10
10,36.035866,4.5877943,2
11,66.68899,-116.97487,5
12,-191.2619,-28.556374,1
13,25.581182,-220.51654,15
14,165.98305,46.90762,6
15,76.33654,180.00507,13
16,-17.809298,253.1007,13
17,162.68506,137.75267,7
18,-102.811104,42.049477,6
19,-129.65051,-10.50662,9
20,123.04913,-44.12844,5
21,27.733624,-106.93643,5
22,-52.446163,142.57759,13
23,-25.67907,120.97326,13
24,-66.59403,-184.16093,10
25,-72.13398,57.075672,6
26,186.94666,-134.53506,5
27,-154.5954,1.2905003,9
28,-166.5925,-65.43933,1
29,132.76599,-104.93381,5
30,129.20995,33.05037,7
31,31.045235,194.28299,13
32,-144.60728,28.97979,14
33,103.10204,103.296005,6
34,-91.52724,-184.94078,10
35,4.2394514,60.02513,14
36,-95.70399,-142.07321,10
37,-229.6327,-1.7905809,1
38,-20.293684,-40.53571,12
39,68.53276,194.83594,13
40,-54.31841,-8.360468,6
41,-139.7286,-96.83184,10
42,6.7187686,45.46078,14
43,-45.239853,-72.16951,2
44,119.91474,97.655624,6
45,-5.3336897,-156.20825,15
46,128.08022,-49.97645,5
47,19.453438,-151.55058,15
48,192.36574,11.629929,5
49,77.16398,132.61931,13
50,-208.1805,44.236076,8
51,-245.82697,69.95537,3
52,133.33449,11.901522,5
53,147.58826,-108.63507,5
54,-19.713383,13.961315,14
55,79.7025,106.656815,6
56,-129.7673,33.34859,6
57,-247.005,61.498505,3
58,-63.602146,10.713409,14
59,113.011635,-62.354446,5
60,-63.336567,-58.885975,10
61,149.67082,87.79044,7
62,-58.236225,124.7611,13
63,87.27388,230.66739,13
64,-149.60002,-14.375794,9
65,10.361362,-18.966728,5
66,-195.445,-21.532263,1
67,-48.480198,232.38019,13
68,-95.42925,6.293772,15
69,10.969029,63.110832,14
70,-22.076105,-126.72604,10
71,-97.742386,119.51662,6
72,188.30899,-3.6166348,5
73,-185.12257,-17.24925,1
74,198.27124,-61.982418,5
75,-145.31943,10.548551,14
76,-42.594715,223.26956,13
77,-91.74347,23.764,6
78,68.111534,64.16988,6
79,-69.37459,53.64341,6
80,106.374084,22.358212,5
81,-52.676594,-41.07203,10
82,-108.57021,18.307537,6
83,81.966606,186.99875,13
84,-21.40703,-217.4061,10
85,-34.594933,192.06044,13
86,-33.2732,41.88351,14
87,-78.52018,-134.22662,10
88,-151.57146,16.895102,14
89,-98.90801,-159.16193,10
90,-99.56206,-11.399204,6
91,93.19896,-2.4639874,5
92,-110.08359,104.63875,6
93,-49.7141,185.65085,13
94,-100.96703,19.20115,6
95,-210.41365,-109.27851,1
96,23.364716,-221.05948,15
97,-22.4133,245.04906,13
98,3.9982882,120.25431,5
99,0.0031509972,-55.41726,5
100,82.86698,170.82193,13
101,-11.364516,-147.39401,15
102,163.37758,-141.50322,5
103,-35.957806,-191.21678,10
104,42.32882,87.78439,6
105,134.97934,-108.45498,5
106,-58.87838,33.65954,14
107,28.104261,-46.278973,2
108,101.80582,-128.08154,5
109,95.934654,-57.51988,5
110,-65.38634,189.80646,13
111,46.733307,17.611729,2
112,-102.63145,143.28847,6
113,-203.74414,17.69568,14
114,-8.305434,-52.421814,5
115,85.858826,223.88068,13
116,134.84285,-154.02634,5
117,140.1639,-86.5774,5
118,-117.43258,132.22577,6
119,-159.53677,-152.7796,10
120,163.16214,97.62275,7
121,157.9017,-96.12748,5
122,-226.5161,78.19278,12
123,216.30185,12.580884,5
124,44.97059,68.314995,6
125,-176.31445,-1.9464394,1
126,-14.675846,85.77516,5
127,-107.264084,-54.819138,11
128,-24.361946,-83.7377,10
129,-0.4786958,-141.67546,15
130,-6.1605687,219.32753,13
131,46.79929,190.70464,13
132,53.266357,107.6183,6
133,34.594856,-100.64974,5
134,-128.35838,-87.07762,10
135,86.75606,192.53403,13
136,-85.00256,70.54371,6
137,-246.41745,67.21106,3
138,-137.73111,79.76526,6
139,-21.606613,-40.64769,2
140,-160.08488,85.176506,6
141,-207.82497,-92.10468,1
142,-157.87503,0.37753105,1
143,-65.88439,61.65248,6
144,-101.21895,73.47685,6
145,75.7738,32.0772,2
146,123.52423,-140.07823,5
147,105.10326,-133.16733,5
148,-0.75057393,43.112705,14
149,66.98172,-6.7542706,5
150,-59.014,-97.27788,10
151,4.24276,42.362057,14
152,105.07271,-63.25367,5
153,-95.20962,-13.045911,6
154,-74.369514,-9.280384,6
155,-28.218304,-201.29153,10
156,53.17812,-78.92624,5
157,-14.959925,-209.17285,15
158,-146.66422,-61.22202,9
159,-206.64601,85.694176,12
160,65.484406,-130.68723,5
161,-72.86858,34.362743,14
162,-35.686607,135.06593,13
163,-144.21593,38.132915,14
164,-8.369493,42.92544,14
165,95.783905,-60.35407,5
166,195.96951,64.41954,7
167,-252.95474,53.368523,3
168,123.14596,-165.16891,5
169,108.793465,-124.843285,5
170,-21.551516,245.81226,13
171,-101.59465,138.8446,6
172,-123.68474,33.0108,6
173,19.093319,-36.2198,2
174,117.44715,-106.85094,5
175,152.25322,14.805479,5
176,15.142581,-149.7198,15
177,146.38243,-56.82912,5
178,91.11012,226.19217,13
179,-67.97852,-0.6646843,6
180,-132.63013,-55.392845,11
181,67.28625,-95.92479,5
182,83.39399,-71.02823,5
183,-89.3362,42.039917,12
184,-221.72273,-61.99839,1
185,16.508318,-87.093414,5
186,-177.06271,-79.90064,1
187,-33.513054,46.460403,14
188,101.84326,-110.35078,5
189,-119.09276,-111.353455,10
190,-161.60008,26.244366,14
191,-95.107956,-92.62652,10
192,101.11468,-158.09106,5
193,88.57507,-105.655045,5
194,148.35739,-51.63596,5
195,-91.690186,27.510096,6
196,-120.89464,-180.37335,10
197,-95.705315,140.64519,6
198,-195.43535,-43.841217,1
199,-132.83568,43.37124,6
200,-160.56549,-78.854836,1
201,-50.77419,-71.151505,2
202,19.044666,44.528057,12
203,26.594847,16.882132,2
204,-188.33244,12.94826,14
205,8.979581,205.02995,13
206,-145.70657,-174.38611,10
207,52.328976,-98.35527,5
208,-246.35239,58.02442,3
209,-36.332367,173.17703,13
210,72.6384,6.889573,2
211,48.643898,9.1263895,2
