,x,y,c
0,-182.77017,104.53407,1
1,-77.43,-72.32899,4
2,17.040087,-99.71416,2
3,-229.73195,8.589892,14
4,25.910418,5.971766,10
5,-42.273216,154.89316,1
6,90.02186,158.18452,11
7,111.38353,3.8549626,7
8,-208.58842,-87.59538,8
9,164.65254,-39.884975,7
10,78.11076,96.663284,11
11,-91.202736,-125.48545,3
12,-1.6614307,36.905155,10
13,-35.184723,-118.97539,3
14,-130.98654,78.77394,9
15,38.121403,57.65129,11
16,-5.5934243,-43.779953,6
17,-101.18702,208.4467,6
18,-111.876,138.6197,9
19,14.20973,91.64177,10
20,-160.43475,-138.8897,8
21,-103.29046,78.676704,9
22,10.289128,61.29438,10
23,-47.8369,-23.529652,4
24,-17.281048,-176.81776,3
25,5.471465,182.60559,15
26,121.3287,138.24773,11
27,-217.52325,8.478866,14
28,82.94369,80.17656,11
29,-46.077347,65.970764,9
30,-132.82042,-88.804504,8
31,-121.05026,-85.267715,4
32,-17.761923,7.0895114,4
33,51.923573,-196.42041,12
34,-143.01646,-16.161324,4
35,209.45657,18.807354,13
36,-142.73505,100.88077,9
37,47.290703,-46.048645,2
38,-39.639454,-113.72518,3
39,-9.635967,-154.58675,12
40,-13.709832,-105.009,11
41,49.853897,-32.678486,2
42,-146.5035,108.37326,9
43,-52.04659,12.156236,4
44,-30.180164,-29.439558,4
45,-72.549225,19.650633,4
46,75.3111,-10.491422,2
47,9.281804,34.61421,2
48,66.00127,170.62617,11
49,-28.517574,212.32648,15
50,24.614338,33.202457,2
51,-123.346596,-149.65599,8
52,49.751,128.28107,11
53,100.85575,73.100525,11
54,-72.05784,209.48059,6
55,-141.07742,7.4448695,14
56,121.154655,160.21962,11
57,115.955925,56.39258,7
58,-135.9428,-92.02378,8
59,-136.4241,87.28079,9
60,152.3076,-86.8504,7
61,-12.5515995,9.898648,4
62,-33.00581,-116.65823,3
63,-46.501648,-209.32861,3
64,3.3121285,-36.010895,2
65,146.54333,-136.33424,7
66,-96.560104,127.331795,9
67,84.71063,-101.802284,5
68,16.92322,30.886591,2
69,52.10953,172.11693,11
70,-37.239098,-241.50987,3
71,-201.73679,10.90572,14
72,-188.42447,-88.52387,8
73,-20.62246,-236.86961,3
74,-35.395966,186.71686,15
75,-0.12825108,154.21794,11
76,-92.6754,-128.84335,8
77,-134.34488,55.277443,9
78,164.0787,-42.056793,13
79,-23.484682,193.89047,15
80,103.51379,98.84194,11
81,-42.12405,-177.86304,3
82,-36.464245,69.70948,9
83,-84.63856,-17.863304,4
84,-54.301643,69.097755,9
85,138.84842,-73.96111,7
86,-203.7062,-88.231255,8
87,-148.00087,7.0750704,14
88,-170.36649,55.486988,1
89,145.41681,-8.840467,7
90,-151.91539,-143.69817,8
91,-4.600189,-41.41235,6
92,-20.173584,80.92532,9
93,74.109955,201.61774,11
94,-115.36369,137.66191,9
95,43.500477,191.4543,11
96,145.64262,102.49567,11
97,-65.699486,-132.12668,3
98,40.1899,-171.89766,12
99,-58.41573,-164.882,3
100,-126.88405,116.66237,9
101,-51.865433,-0.7235803,4
102,25.735134,49.28596,2
103,-154.86217,-109.14845,8
104,114.46707,167.56787,11
105,12.285164,-25.760668,2
106,-112.19258,144.73901,9
107,-16.56428,73.71678,9
108,-104.69773,-45.451252,4
109,31.664316,83.362915,10
110,-186.63936,98.94831,1
111,-2.908154,-202.96422,3
112,-30.050695,-97.15505,3
113,161.42271,92.87196,11
114,-51.933956,-144.40964,3
115,-52.277252,-116.44129,4
116,-102.90901,194.03055,6
117,-186.53055,-36.491722,14
118,39.346035,-119.04214,5
119,80.482,-89.4207,5
120,22.054897,91.21569,2
121,-27.735544,12.28087,4
122,158.5643,57.15832,7
123,50.24733,137.88315,11
124,54.03036,-213.61914,12
125,-164.29697,11.418304,14
126,-54.425667,38.2626,4
127,16.523533,-80.01378,2
128,-72.75754,-131.44746,3
129,-204.50577,20.163517,14
130,-134.36928,90.06831,9
131,-1.6046602,-109.57782,12
132,210.58452,-4.9918118,13
133,41.78067,-160.28189,12
134,-188.50316,2.905452,14
135,-68.137375,203.07306,6
136,7.2165504,146.95819,11
137,-121.149635,-45.945686,4
138,15.915027,147.46301,11
139,-81.320305,34.714314,9
140,-56.1006,11.171883,4
141,93.35415,-34.37241,2
142,9.34226,-199.31996,12
143,-167.07486,-98.982124,8
144,13.174394,-213.44252,12
145,-156.25716,30.144932,9
146,-34.206375,-89.82054,3
147,54.622494,-199.6203,12
148,44.35729,-106.99393,5
149,261.32068,16.947859,13
150,224.25926,-7.0278735,13
151,116.92835,160.88885,11
152,85.91658,96.401474,11
153,69.84962,-208.2819,12
154,-3.9155924,127.33303,11
155,91.7512,17.361595,2
156,-43.066654,-210.771,3
157,-148.3615,76.903366,9
158,-80.01836,-5.7590966,4
159,95.86556,-15.360679,2
160,67.20752,-111.80545,5
161,29.633217,148.17873,11
162,-41.0089,-3.390431,4
163,142.75493,51.504456,7
164,-115.773766,-125.54331,8
165,11.3363495,-223.13507,12
166,79.75926,183.65504,11
167,-20.630514,73.783905,9
168,-202.43391,-52.624798,8
169,-28.982777,-43.765278,4
170,-64.3989,172.39859,15
171,-170.66934,23.23222,14
172,0.89271283,-114.89095,12
173,-93.91882,26.815544,9
174,-12.056867,-210.67896,12
175,85.218346,-91.59944,5
176,161.73854,-77.50734,7
177,-99.04782,142.45866,9
178,-74.986145,-10.946713,4
179,-49.766853,51.364326,11
180,-59.399384,-6.7861915,4
181,-16.427855,-230.84851,3
182,-59.75059,-69.58904,4
183,216.58882,-0.119990855,13
184,-58.553066,-97.30039,4
185,76.16286,-24.740028,2
186,99.65907,73.41351,11
187,-89.717155,-73.82852,4
188,161.84026,-22.758966,2
189,112.96907,-32.313454,7
190,-189.63252,-53.609592,8
191,-181.98372,91.07883,1
192,-78.24027,-134.26932,3
193,-64.47084,171.84366,15
194,-99.16088,190.62836,6
195,50.52271,-128.54863,5
196,-108.906815,57.116993,9
197,183.86214,-25.030323,13
198,-26.093378,-227.7304,3
199,-52.265965,-22.582256,4
200,73.71049,44.149464,2
201,32.07052,-208.29955,12
202,22.403097,136.22098,11
203,-116.17919,207.45807,6
204,82.1854,1.7736971,2
205,-125.59829,-77.50375,4
206,82.36841,181.92854,11
207,-60.85142,87.729416,9
208,-204.68153,-27.987934,14
209,11.000801,18.652636,2
210,-184.63663,-69.52725,8
211,-145.34724,102.05644,9
212,-97.97832,59.204456,9
213,-114.854324,144.80954,9
214,-114.60677,139.87132,9
