"","BA9","DLCau","Hipp"
"1",0.0503085150143974,0.545701357466063,0.386507610037022
"2",0.135911147675854,0.340106951871658,0.666474701768819
"3",0.161497326203209,0.340106951871658,0.666474701768819
"4",0.258083093377211,0.86330728095434,0.386507610037022
"5",0.796174413821473,1,0.43628136569313
"6",0.86330728095434,0.222418757712875,0.190250925545043
"7",0.604812834224599,0.0939119703825586,0.86330728095434
"8",0.931427396133278,0.666474701768819,0.730440148087207
"9",0.113492389962978,0.297326203208556,0.545701357466063
"10",0.796174413821473,0.931427396133278,0.931427396133278
"11",0.86330728095434,0.86330728095434,0.0314685314685315
"12",0.297326203208556,0.86330728095434,0.00563554092965858
"13",0.135911147675854,0.604812834224599,0.0106129164952694
"14",0.161497326203209,0.190250925545043,0.0625257095845331
"15",0.796174413821473,0.161497326203209,0.0314685314685315
"16",0.666474701768819,0.730440148087207,0.666474701768819
