"","BA9","DLCau","Hipp"
"1",0.181018981018981,0.455944055944056,0.181018981018981
"2",0.035964035964036,0.606993006993007,0.388411588411588
"3",0.688911088911089,0.0015984015984016,0.688911088911089
"4",0.775624375624376,0.775624375624376,0.144655344655345
"5",0.455944055944056,0.954645354645355,0.327672327672328
"6",0.272127872127872,0.863936063936064,0.455944055944056
"7",0.327672327672328,0.144655344655345,0.0663336663336663
"8",0.144655344655345,0.528671328671329,0.954645354645355
"9",1,0.528671328671329,0.688911088911089
"10",0.775624375624376,0.688911088911089,0.863936063936064
"11",1,0.606993006993007,1
"12",0.528671328671329,0.688911088911089,0.223776223776224
"13",0.327672327672328,0.528671328671329,0.863936063936064
"14",0.181018981018981,0.455944055944056,1
"15",0.863936063936064,0.954645354645355,0.688911088911089
"16",0.606993006993007,0.606993006993007,0.272127872127872
