,x,y,c,ind+1
153,-77.153305,95.33174,4,45593
154,-31.388248,146.53746,1,46287
155,61.00274,-54.04905,2,46695
156,-177.40889,35.715828,3,46918
157,39.89551,-174.71115,7,47237
158,10.896547,-147.61829,7,47526
159,-30.047281,147.98769,1,47751
160,-40.268562,-48.904877,11,48108
161,38.937473,-159.62149,7,48210
162,6.089419,103.63035,9,48991
163,-44.879932,-100.36558,11,49201
164,120.35511,-49.48197,13,49722
165,-54.28077,-191.2608,7,49867
166,102.20551,105.88659,10,50031
167,8.095084,83.84982,9,50190
168,-88.21863,-133.3864,11,50264
169,-75.21051,-28.961056,11,50271
170,-96.133224,-113.36537,11,50272
171,57.531956,-30.519857,2,50340
172,25.641464,-81.350624,2,51155
173,-190.98074,-34.86506,4,51359
174,-76.07414,-20.978308,11,51612
175,-7.7666535,-8.90089,5,51655
176,49.102745,201.67831,6,52020
177,-76.27251,54.082153,12,52025
178,-127.34905,-32.641144,4,52482
179,219.37714,3.9141617,15,53020
180,-80.45915,-50.957024,11,53307
181,-28.390707,-113.71989,7,54702
182,-135.50575,69.40348,3,54750
183,-19.997787,-185.2578,7,54833
184,-68.29143,87.350975,14,54968
185,-41.68994,-100.3011,11,55113
186,163.12123,-85.12407,13,55194
187,-72.63535,29.129938,12,55312
188,62.833817,57.360043,10,55430
189,-39.461765,-56.941643,11,55962
190,-140.06555,103.06083,8,56130
191,-62.29809,-50.693848,11,56366
192,-78.83412,-54.06662,11,56541
193,-178.65619,44.72119,3,56626
194,-118.88586,58.72872,3,56659
195,45.094807,115.59758,6,56871
196,-4.1222477,-207.79498,7,57161
197,-73.647446,119.76516,14,57202
198,-37.058006,-211.54997,7,57349
199,37.71354,-43.417206,2,57928
200,-43.66938,123.6752,1,57932
201,56.746777,-84.95314,2,58401
202,-26.201096,84.41019,9,59503
203,-70.90731,-122.80157,11,59574
204,95.66533,-124.97305,13,59662
205,14.58257,-159.18356,7,60764
206,98.59267,44.788563,15,60781
207,-158.21452,35.305195,3,61343
208,117.96259,-106.74035,13,61512
209,32.067974,-66.36395,2,62066
210,-194.28142,-25.451511,4,62285
211,-67.01902,-117.59351,11,62291
212,-11.004361,-90.42463,7,62645
213,18.180038,-64.25703,2,62911
214,-22.648426,102.41323,9,63093
215,59.897785,-67.06089,2,63352
216,-153.8401,63.46557,3,63844
217,96.26617,-91.134674,13,63997
218,-72.29085,115.64148,14,64776
219,-113.00753,50.620632,3,65171
220,94.79357,-115.8066,13,65279
221,-157.88081,28.914158,3,65328
222,79.86649,-135.19707,13,65896
223,-46.594234,-101.83549,11,65910
224,-161.24217,-51.185436,4,66059
225,-83.25161,-19.08298,11,66414
226,-68.7811,-43.07452,11,66549
227,-38.08946,-40.662178,7,66740
228,-81.72859,-99.872765,11,67788
229,-220.17331,30.632374,8,68516
230,-133.97136,29.924065,3,68775
231,-172.75642,-61.85268,4,69020
232,-11.309257,-193.48018,7,69223
233,-25.78401,202.4763,1,70752
234,28.278404,71.49299,2,71199
235,177.65825,5.2595305,5,71240
236,60.9556,-154.56668,13,71996
237,151.7556,-113.246254,13,72459
238,-79.602356,96.826744,4,72629
239,-141.71486,99.17207,8,73743
240,-51.065155,-114.28964,11,73813
241,-6.4367666,101.12806,9,73940
242,-44.682835,-204.66042,7,73979
243,-105.34044,-33.401794,4,75341
244,96.31659,-33.8213,2,75393
245,8.981528,-69.80628,2,75645
246,-85.02139,120.62295,14,75994
247,-161.8966,2.241365,4,76153
248,34.98278,-75.9306,2,76384
249,193.79367,-23.949522,5,76579
250,-46.348534,-156.57036,7,76581
251,-226.61961,-19.045258,8,76687
252,-55.857788,-87.689964,11,76794
253,50.244045,-179.5416,7,77026
254,11.057627,71.80054,9,77112
255,-35.15602,-74.75378,11,77399
256,-21.375853,117.706665,9,77519
257,1.1933964,100.67578,9,77862
258,-72.158745,42.88349,12,78273
259,-31.194582,148.63148,1,78688
260,-46.37606,-192.1946,7,79059
261,58.522697,77.61561,10,79326
262,111.91306,-120.608086,13,79445
263,-138.64108,59.715122,3,79475
264,-76.484535,10.291718,12,79518
265,-192.97923,13.066183,8,80270
266,81.26268,-134.70941,13,80878
267,-37.04497,-107.049065,11,80888
268,-217.8524,42.055363,8,81212
269,1.6506737,-54.424015,2,81276
270,-138.08333,61.86707,3,81308
271,41.108627,-102.57768,7,81355
272,-6.83652,-44.71583,2,81460
273,-80.807365,99.9552,14,81580
274,-22.309633,83.07202,9,81679
275,-32.399387,-71.587234,11,81759
276,-135.25745,-2.1701198,4,82205
277,-130.68256,59.73148,3,82559
