,x,y,c,ind+1
33933,12.272138,24.431038,6,1122469
33934,-2.3949444,-15.840152,7,1122504
33935,-39.70093,15.138093,12,1122513
33936,-9.549294,-25.689718,7,1122514
33937,-7.8099585,3.7213204,11,1122521
33938,31.039085,-3.5697591,5,1122535
33939,12.997094,-30.281866,13,1122589
33940,-38.78988,-4.6537666,3,1122620
33941,-5.5121837,-30.5996,7,1122642
33942,13.365314,-12.55124,2,1122704
33943,17.486687,25.146635,6,1122705
33944,11.784641,-33.355038,13,1122731
33945,-9.95781,-6.779577,11,1122750
33946,-29.068127,17.000162,12,1122769
33947,12.610468,-30.741104,13,1122814
33948,-33.574776,-1.8998879,3,1122903
33949,28.753038,-9.131654,5,1122935
33950,-37.24919,14.462609,12,1122964
33951,-37.241398,-6.0878468,3,1123007
33952,-9.630889,-27.188,7,1123065
33953,-2.5233912,11.384258,9,1123130
33954,16.256433,-28.24223,13,1123164
33955,9.482465,-27.808197,13,1123194
33956,-26.806566,-20.062181,8,1123201
33957,-36.423935,16.109158,12,1123245
33958,16.408842,-17.007137,2,1123254
33959,-37.194973,-6.08273,3,1123257
33960,9.522683,-15.004778,2,1123293
33961,13.281703,-7.316651,2,1123296
33962,-13.319542,27.910662,14,1123304
33963,12.385097,-27.971003,13,1123352
33964,12.64409,-13.153682,2,1123353
33965,14.390529,26.839855,9,1123426
33966,-4.989193,-8.310251,11,1123470
33967,-35.287727,12.672049,12,1123493
33968,-8.902651,-3.4990952,11,1123497
33969,12.996278,-34.104927,13,1123515
33970,3.3476756,-29.912708,13,1123535
33971,-35.42562,-8.207403,3,1123581
33972,18.798407,3.8138385,10,1123632
33973,1.3746984,-12.029467,2,1123637
33974,-0.31254852,-28.819653,7,1123638
33975,-3.580712,16.489395,9,1123639
33976,-8.313432,-29.749279,7,1123733
33977,36.17274,-7.314636,5,1123743
33978,-13.954512,15.773917,4,1123767
33979,13.620868,-28.919737,13,1123805
33980,-36.28751,11.070258,12,1123834
33981,-11.6319065,-30.969234,7,1123836
33982,-5.8587737,14.400513,9,1123840
33983,14.477462,-12.307307,2,1123846
33984,3.86458,-12.612148,2,1123852
33985,-2.9905362,5.348047,2,1123898
33986,-34.22071,12.543942,12,1123899
33987,-20.92951,8.896339,4,1123975
33988,18.55722,-10.391594,2,1123995
33989,16.73683,-14.016442,2,1124015
33990,-34.31686,15.109631,12,1124210
33991,-10.984821,-1.5499471,11,1124229
33992,-4.17323,12.792855,9,1124313
33993,10.673721,-35.148495,13,1124343
33994,-38.823338,5.3133373,12,1124347
33995,-7.280499,-26.5669,7,1124364
33996,-2.5442376,22.984365,1,1124367
33997,14.34607,-33.29843,13,1124376
33998,-25.239708,-15.242403,8,1124377
33999,27.706696,-10.307522,5,1124425
34000,16.16249,-32.13896,13,1124436
34001,10.395161,-17.434334,2,1124456
34002,12.500264,-32.371967,13,1124494
34003,17.067055,-27.148485,13,1124550
34004,-39.27965,16.777527,12,1124563
34005,-6.258223,-11.707217,11,1124596
34006,4.3660316,-9.097661,2,1124613
34007,-36.972282,15.333808,12,1124616
34008,2.6377764,-20.508692,2,1124702
34009,-5.58612,-10.084425,11,1124748
34010,-34.108387,-9.744234,3,1124777
34011,-38.56265,-4.8348966,3,1124815
34012,1.1867864,-29.663647,7,1124905
34013,16.380285,-16.086235,2,1124928
34014,-5.5190096,-10.114902,11,1124948
34015,-14.969627,-8.872987,11,1124956
34016,-10.130299,-29.705982,7,1124967
34017,13.5519905,-37.078354,13,1125005
34018,9.072742,-17.1632,2,1125016
34019,32.84068,-5.663353,5,1125060
34020,13.16096,-14.453867,2,1125061
34021,-2.9220698,-8.812896,11,1125089
34022,-12.654876,24.23647,14,1125113
34023,-35.18959,12.09144,12,1125131
34024,-20.23655,22.630054,14,1125263
34025,-10.145778,-29.083748,7,1125266
34026,-34.04673,-7.4917164,3,1125350
34027,11.862428,-27.2707,13,1125379
34028,5.311016,24.61888,1,1125381
34029,-16.553276,21.876724,14,1125414
34030,9.24549,-18.902475,2,1125439
34031,-11.8826065,-11.31456,11,1125474
34032,14.650456,-15.424638,2,1125522
34033,10.908134,-35.484795,13,1125531
34034,-10.078526,-22.57504,7,1125599
34035,-16.022734,22.372995,14,1125638
34036,-36.896107,15.633377,12,1125643
34037,14.64142,-34.05809,13,1125664
34038,-19.487457,7.8739595,4,1125726
34039,8.7394285,-8.546384,2,1125733
34040,-10.710058,17.143122,9,1125754
34041,5.742292,-9.548797,12,1125934
34042,-18.539593,12.6286545,4,1125942
34043,-4.441018,15.79409,9,1125974
34044,-9.519178,-28.63768,7,1125990
34045,-34.862434,-7.234824,3,1126012
34046,-16.243565,14.626864,4,1126017
34047,-9.863022,6.321403,11,1126056
34048,-10.862419,-29.593956,7,1126074
34049,-2.2488558,-3.6000566,11,1126085
34050,15.838764,24.75109,9,1126157
34051,-28.309677,17.546806,12,1126162
34052,-8.880714,-15.507477,11,1126189
34053,23.576197,-25.072124,13,1126203
34054,2.5500033,0.31923375,15,1126252
34055,-11.21498,17.302788,9,1126261
34056,-2.399883,9.771515,9,1126275
34057,0.69279027,-30.325134,7,1126340
34058,14.809768,-26.746138,13,1126350
34059,-9.793784,-5.258211,11,1126371
34060,26.470333,20.800156,6,1126405
34061,9.110378,-9.180557,2,1126420
34062,-35.771854,15.100503,12,1126452
34063,-40.66683,15.66324,12,1126498
34064,-9.228625,1.2821413,11,1126516
34065,10.969172,-34.28111,13,1126547
34066,14.790531,-12.499947,2,1126601
34067,-38.523216,13.984628,12,1126607
34068,6.7999887,-24.283466,2,1126611
34069,-4.2809534,-17.602558,7,1126617
34070,-3.9184523,4.0726647,2,1126672
34071,-12.480803,-28.90424,7,1126713
34072,24.921175,-22.7909,13,1126739
